num_clusters,percentage_outliers,eps,min_samples,metric,algorithm,leaf_size,p,silhouette_score
147,0.0,0.1,1,euclidean,auto,10,,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,10,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,10,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,20,,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,20,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,20,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,30,,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,30,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,30,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,40,,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,40,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,40,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,50,,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,50,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,auto,50,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,10,,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,10,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,10,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,20,,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,20,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,20,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,30,,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,30,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,30,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,40,,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,40,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,40,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,50,,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,50,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,ball_tree,50,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,10,,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,10,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,10,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,20,,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,20,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,20,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,30,,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,30,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,30,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,40,,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,40,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,40,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,50,,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,50,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,kd_tree,50,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,10,,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,10,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,10,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,20,,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,20,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,20,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,30,,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,30,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,30,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,40,,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,40,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,40,2.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,50,,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,50,1.0,0.03333333228066713
147,0.0,0.1,1,euclidean,brute,50,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,10,,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,10,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,10,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,20,,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,20,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,20,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,30,,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,30,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,30,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,40,,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,40,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,40,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,50,,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,50,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,auto,50,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,10,,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,10,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,10,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,20,,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,20,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,20,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,30,,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,30,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,30,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,40,,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,40,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,40,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,50,,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,50,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,ball_tree,50,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,10,,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,10,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,10,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,20,,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,20,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,20,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,30,,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,30,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,30,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,40,,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,40,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,40,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,50,,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,50,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,kd_tree,50,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,10,,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,10,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,10,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,20,,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,20,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,20,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,30,,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,30,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,30,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,40,,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,40,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,40,2.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,50,,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,50,1.0,0.03333333228066713
147,0.0,0.1,1,manhattan,brute,50,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,10,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,10,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,10,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,20,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,20,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,20,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,30,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,30,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,30,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,40,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,40,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,40,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,50,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,50,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,auto,50,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,10,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,10,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,10,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,20,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,20,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,20,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,30,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,30,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,30,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,40,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,40,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,40,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,50,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,50,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,ball_tree,50,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,10,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,10,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,10,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,20,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,20,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,20,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,30,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,30,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,30,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,40,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,40,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,40,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,50,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,50,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,kd_tree,50,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,10,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,10,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,10,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,20,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,20,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,20,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,30,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,30,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,30,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,40,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,40,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,40,2.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,50,,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,50,1.0,0.03333333228066713
147,0.0,0.1,1,mahalanobis,brute,50,2.0,0.03333333228066713
2,0.9666666666666667,0.1,2,euclidean,auto,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,auto,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,ball_tree,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,kd_tree,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,euclidean,brute,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,auto,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,ball_tree,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,kd_tree,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,manhattan,brute,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,auto,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,ball_tree,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,40,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,40,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,50,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,50,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,kd_tree,50,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,10,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,10,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,10,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,20,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,20,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,20,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,30,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,30,1.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,30,2.0,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,40,,-0.4087340775959315
2,0.9666666666666667,0.1,2,mahalanobis,brute,40,1.0,-0.4087340775959315
